DateTime,electric_customer_0_2022-07-05_2022-07-14_0,electric_energy_0_2022-07-05_2022-07-14_0,electric_energy_1_2022-07-05_2022-07-14_0,electric_energy_2_2022-07-05_2022-07-14_0,electric_energy_3_2022-07-05_2022-07-14_0,electric_demand_peak-summer_2022-07-05_2022-07-14_0,electric_demand_maximum_2022-07-05_2022-07-14_0
7/5/2022 19:00,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 19:15,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 19:30,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 19:45,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 20:00,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 20:15,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 20:30,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 20:45,3.801833333,0.52939,0,0,0,2.55,8.03
7/5/2022 21:00,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 21:15,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 21:30,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 21:45,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 22:00,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 22:15,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 22:30,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 22:45,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 23:00,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 23:15,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 23:30,3.801833333,0,0,0.12955,0,0,8.03
7/5/2022 23:45,3.801833333,0,0,0.12955,0,0,8.03
