,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,7.135209098165499e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,1.1735380099587513e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992904,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398627e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
1,1,2,0.12955,7.135209098165499e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,1.1735380099587513e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992904,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398627e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
2,1,3,0.12955,7.135209098165499e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,1.1735380099587513e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992904,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398627e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
3,1,4,0.12955,7.135209098165499e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,1.1735380099587513e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992904,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398627e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
4,1,5,0.12955,7.13520909817632e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,3.1390621703477036e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999286,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
5,1,6,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
6,1,7,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
7,1,8,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
8,1,9,0.12955,7.13520909817632e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,3.1390621703477036e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999286,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
9,1,10,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
