Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
400,50,72.20692757,63.22028209,58.25748995,6.471136059
400,57.14285714,77.0313043,60.74914107,55.98033349,7.69642011
400,64.28571429,81.5750271,58.57457625,53.97647201,8.979916007
400,71.42857143,85.88092507,56.64503402,52.19839885,10.31756179
400,78.57142857,89.9821156,54.91936826,50.60819785,11.70593404
400,85.71428571,93.90478897,53.36487003,49.17572773,13.14209828
400,92.85714286,97.67005688,51.95541588,47.87691573,14.62350397
528.5714286,50,73.23346833,73.01214533,67.28069192,7.404326203
528.5714286,57.14285714,77.94416937,70.81603732,65.25697839,8.724508681
528.5714286,64.28571429,82.4019825,68.77750698,63.37847268,10.10598602
528.5714286,71.42857143,86.64144578,66.89592404,61.644594,11.54470809
528.5714286,78.57142857,90.6902842,65.16130777,60.04614511,13.03723538
528.5714286,85.71428571,94.57105281,63.56064582,58.57113513,14.58060544
528.5714286,92.85714286,98.30233673,62.08060198,57.20727472,16.1722351
657.1428571,50,74.84382995,78.80480367,72.61862658,8.52872418
657.1428571,57.14285714,79.36576132,77.30787782,71.23920941,9.935848395
657.1428571,64.28571429,83.67525204,75.76444749,69.81693836,11.40553784
657.1428571,71.42857143,87.79606001,74.23423699,68.40684939,12.9340481
657.1428571,78.57142857,91.74849015,72.74808736,67.0373625,14.51810143
657.1428571,85.71428571,95.5498648,71.32106523,65.72236161,16.15482084
657.1428571,92.85714286,99.21499593,69.95949326,64.46767304,17.84166654
785.7142857,50,77.13344398,81.16177909,74.79057943,9.901250777
785.7142857,57.14285714,81.40395041,80.59152139,74.26508696,11.39578406
785.7142857,64.28571429,85.50827603,79.77318261,73.51098777,12.95177136
785.7142857,71.42857143,89.45969231,78.8119529,72.6252146,14.56637511
785.7142857,78.57142857,93.27073042,77.77393385,71.66868004,16.23686566
785.7142857,85.71428571,96.95289665,76.70106926,70.68003532,17.9607061
914.2857143,50,80.10887111,80.92853078,74.57564111,11.55466203
914.2857143,57.14285714,84.09079511,81.29872341,74.91677362,13.14519776
914.2857143,64.28571429,87.95060907,81.27481901,74.89474572,14.792697
914.2857143,71.42857143,91.69362807,80.98045788,74.62349194,16.49607548
914.2857143,78.57142857,95.3259274,80.50105962,74.18172644,18.25374383
914.2857143,85.71428571,98.85381881,79.89621982,73.62436656,20.06392416
1042.857143,50,83.71304991,78.99714913,72.79587292,13.50175959
1042.857143,57.14285714,87.39608672,80.16993463,73.87659476,15.20485234
1042.857143,64.28571429,90.9936645,80.87538444,74.52666676,16.9562535
1042.857143,71.42857143,94.5062668,81.23217154,74.85544607,18.75753157
1042.857143,78.57142857,97.93560546,81.32820405,74.94394003,20.60892091
1171.428571,57.14285714,91.25255797,77.8916125,71.77712091,17.57899465
1171.428571,64.28571429,94.58877624,79.18507469,72.96904633,19.45332849
1171.428571,71.42857143,97.86538985,80.10022633,73.81235856,21.36785846
1300,66,99.40279022,77.07722261,71.02666064,22.77027081
1200,56,91.64660812,77.02119031,70.97502687,17.84703239
1250,61,95.57038386,77.07272407,71.02251523,20.2369987
1300,66,99.40279022,77.07722261,71.02666064,22.77027081
850,55,81.44371979,81.289758,74.90851199,11.76393861
850,65,87.04364097,80.7458662,74.4073157,13.99648392
