Flow (gpm),Head 100% Speed (ft),MCSF (ft),Head Min (ft)
1432.3174777966728,301.79009722679143,,
1489.7111382412065,301.11883467353476,,
1552.294052482176,300.3465850072481,,
1615.5147683190332,299.61417357015,,
1678.7388327817005,298.6819161447289,,
1740.8140507015748,297.72591294396597,,
1805.1896406076823,296.65752450322816,,
1870.3309049672641,295.6182896452731,,
1929.345300303694,294.43375835991844,,
1994.87455877376,293.10133747133716,,
2058.105320488047,291.76938806926995,,
2121.3367519274952,290.3974694695381,,
2184.570862267591,288.8656740791479,,
2246.37025387952,287.22425807425117,,
2311.044440749079,285.48232971705045,,
2374.281229989823,283.7906575360018,,
2439.8237490180954,281.6668465336613,,
2500.7675332493877,279.64789841827684,,
2564.0116894669127,277.5165650629175,,
2627.258524585086,275.2253549168996,,
2679.005910782676,273.3521818591638,,
2785.95820629889,269.0215782280178,,
2839.2940131493124,266.65845835191215,,
2909.0192671902264,263.536561298533,,
2972.2781573613142,260.52590559455234,,
3034.900957456373,257.3732681562402,,
3098.803974405433,254.02496381461552,,
3153.4440040362188,250.98609928681384,,
3236.8430367084716,246.28261947450582,,
3300.1153213827984,242.47257981723294,,
3354.761378540041,239.07399251044978,,
3426.667927433395,234.37287013071182,,
3489.950927710313,229.9233233108052,,
3553.2352674375543,225.39383809556938,,
3616.522286065444,220.70447608967507,,
3681.729704388244,215.71717270684928,,
3714.334306516527,213.17022875188357,,
2734.0679661372315,271.1313368094343,,
1086.1088596162792,,173.11410969092472,
1117.5295067205022,,184.06984536417028,
1146.0794885389275,,194.87961667078804,
1171.7714517150303,,204.78867192821141,
1194.6035545046145,,213.90692643001807,
1217.430132061613,,223.35492681255778,
1240.251184386025,,233.13267307583044,
1263.0685532220468,,243.13024992625847,
1285.8877638022636,,253.01791148310886,
1308.6996074056992,,263.3452342142699,
1331.5004005439628,,274.332048706897,
1354.3011936822265,,285.318863199524,
1371.4330981872447,,291.69041407817394,
1388.3631964088693,,302.7919941980965,
856.5545026040731,,,169.95789038054585
905.0583849860736,,,169.41787279240717
977.8008857567354,,,169.40295125378753
1054.033960740202,,,167.79710947853286
1161.4157475921313,,,167.77508244533246
1300.0084193901052,,,165.62638088410677
1400.480112762233,,,164.54563515837123
1497.5056412626857,,,162.40546019064243
1618.778670020026,,,160.26031137670714
1798.9740125884248,,,155.98280363908185
2003.4346191501634,,,150.6401822637988
2197.5478492286506,,,142.64934305826165
2402.0795107361964,,,133.06616251717332
2509.567880006838,,,126.68329673526512
2630.9386093146636,,,118.70737906834768
2734.989695581856,,,110.73501414872055
2818.221682727383,,,104.8871921087445
1899.4723515652302,,,153.31184822616933
2100.486793255294,,,146.9097976088931
