efficiency,Flow (gpm),Head (ft)
52,376.1563511435842,58.452073448775806
52,379.76538883759713,61.91171998961086
52,382.7759996786682,65.14188745203437
52,385.7871460726773,68.43242511939602
52,388.80016690196953,71.93425850404115
52,391.8131877312617,75.43609188868628
52,394.8270118899609,79.02848058073862
52,397.8419071545361,82.74160968266722
52,400.8592124073325,86.72640470681743
52,403.8746432248456,90.49990401368419
52,406.891948477642,94.4846990378344
52,409.9103248363143,98.5902344718609
52,412.1719648935665,101.42790522762823
62,512.7009282207852,55.18449091921997
62,515.4201447082804,59.18132383453451
62,516.942007640483,62.66285306841702
62,518.4586935609515,65.5608036545642
62,519.976450587296,68.57949465058765
62,521.4934935430564,71.5176920400269
62,523.0087513223568,74.25465541300571
62,523.7742349884313,76.50856677192111
62,526.0399809515416,79.8090757655475
62,527.5566668720099,82.70702635169468
62,529.0733527924785,85.60497693784185
62,530.5903957482388,88.54317432728111
62,531.3576645907734,90.99831970265697
62,533.6273379420959,94.74154353249637
62,536.6534798183695,99.72244693812586
62,535.1343839096801,96.55283042975707
71,682.0108482671344,98.26099995600816
71,681.9872839378615,95.60471093873012
71,681.9637196085887,92.94842192145208
71,681.940155279316,90.29213290417404
71,681.9165909500431,87.635843886896
71,681.6377463869815,84.21483548221545
71,683.3508017180567,81.23678291257002
71,683.3272373887838,78.58049389529198
71,683.0529152727544,75.66927833231126
71,684.758877502695,71.89165593726295
71,686.2122610658896,67.65384829972228
71,688.4112414293936,63.428205077727554
71,690.8563976267401,58.940987759186996
71,693.3149426475371,55.96302556409984
71,695.7737554448031,53.01524847148177
71,700.2164348421359,49.60487413982676
71,703.1844692246344,48.03561030966834
77,816.9234170245469,95.90279635682538
77,819.877437771834,92.75384549745237
77,823.5789119029491,89.82634243074416
77,827.2788686340731,86.72779045004457
77,831.7225298784587,83.4280948274428
77,836.1701185110564,80.57111404105405
77,841.3622149863229,77.60354492017034
77,847.3004259630723,74.70649807960606
77,853.985037069538,71.91217096199493
77,861.4161554163077,69.23263760832452
77,870.3384979667212,66.58088281174244
77,881.4968199378997,63.87420352289179
77,894.8923913553816,61.25576337062586
77,910.5281709752688,59.05908813651199
77,926.9135591738376,57.32680503493516
77,943.3045950215709,56.23115318543324
77,959.698357320625,55.44284056107092
77,976.0926064859863,54.70940994119783
77,992.4901663422371,54.34917695185139
77,1008.8898684102402,54.23042478225753
77,1025.2906415841194,54.232413022539916
77,1041.6932648499662,54.44295287988133
77,1058.0965697286433,54.73032754350764
77,1074.5005562201504,55.09453701341887
77,1090.9058085640565,55.60143969500203
77,1107.3113530277471,56.14127157927875
77,1123.717481731006,56.746961868942506
77,1140.1244867936186,57.451439766686875
77,1156.5318813492768,58.1998232680226
77,1172.9395680247194,58.981135972051845
77,1189.3477415664693,59.81733068057032
77,1205.7561098547421,60.67547819088449
77,1222.165159755845,61.61046050748354
77,1238.5743070302096,62.55641922498046
77,1254.9836490510968,63.524330744273044
77,1271.3934779382914,64.54712426805484
77,1287.803501572009,65.59187059363235
77,1304.2135252057265,66.63661691920984
77,1320.62393833249,67.7252688483787
77,1337.034448832515,68.82489717844541
77,1353.4451540790626,69.94647831030781
77,1362.3955095257509,70.45247724630808
81,967.4737235317665,91.56864771872675
81,978.6323324063047,88.89430961109295
81,992.0278770461397,86.27285094858011
81,1007.6613099704256,83.81164445282822
81,1038.9431100952127,80.57269774759934
81,1057.7201928611298,79.5314330725376
81,1074.7106877183767,78.78161015096437
81,1090.9389587499572,78.01279104496305
81,1107.9988190728911,77.61239158526523
81,1123.900932955593,77.426501160479
81,1140.302971981871,77.57118261243336
81,1156.7055952477176,77.78172246977476
81,1173.1089974996562,78.08007353429893
81,1189.5138603505166,78.54307061229072
81,1205.9193074409454,79.0719260956696
81,1222.3253387709433,79.66663998443552
81,1232.019431188647,79.97515407883292
81,1021.0882341870507,82.23583784568565
82,1042.0035934342327,89.42474254130744
82,1058.3898579921545,87.7912470478112
82,1074.7802122270575,86.61876039202437
82,1091.1737797795888,85.80849496586639
82,1107.5677368251659,85.04213514329976
82,1123.9634465894487,84.4733505368943
82,1140.3617854317915,84.20092875473063
82,1156.7620717393634,84.1480349905238
