DateTime,A,B
3/1/2021,5.91E-12,5.57E-08
3/2/2021,5.84E-12,5.44E-08
3/4/2021,5.85E-12,5.37E-08
3/5/2021,5.83E-12,5.72E-08
3/6/2021,5.72E-12,5.68E-08
3/7/2021,5.82E-12,5.62E-08
3/9/2021,5.88E-12,5.51E-08
3/11/2021,5.78E-12,4.82E-08
3/12/2021,5.76E-12,5.35E-08
3/13/2021,5.77E-12,5.32E-08
3/14/2021,5.76E-12,5.57E-08
3/15/2021,5.68E-12,5.51E-08
3/16/2021,6.04E-12,5.30E-08
3/18/2021,5.97E-12,5.74E-08
3/19/2021,6.04E-12,6.20E-08
3/20/2021,5.86E-12,5.79E-08
3/21/2021,5.87E-12,5.80E-08
3/22/2021,5.79E-12,5.48E-08
3/23/2021,5.99E-12,5.71E-08
3/24/2021,5.74E-12,5.44E-08
3/25/2021,5.86E-12,5.23E-08
3/26/2021,5.83E-12,5.18E-08
3/27/2021,5.88E-12,5.66E-08
3/28/2021,5.64E-12,5.74E-08
3/29/2021,6.00E-12,5.93E-08
3/30/2021,6.00E-12,5.99E-08
3/31/2021,6.14E-12,6.32E-08
,,
AVERAGE,5.86E-12,5.59E-08
std,1.17515E-13,3.09065E-09
AVG+std,5.98E-12,5.90E-08
AVG-std,5.74E-12,5.28E-08
