Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
8.98E-01,1.64E-01,5.86E-01,6.31E-01,3.33E-01,1.64E-01,6.78E-02,2.50E-02,6.78E-02,2.50E-02,1.67E-02,2.44E+05,8.71E+05,7.84E+05,9.45E+05,1.11E+06,7.20E+05,1.98E+05,1.79E+05,2.20E+04,-3.22E+03,2.05E-04,2.25E-04,9.99E-05,1.24E-02,1.87E-02,2.39E-01,9.32E-01,1.00E+00
8.98E-01,1.70E-01,5.89E-01,6.31E-01,3.29E-01,1.70E-01,6.99E-02,2.58E-02,6.99E-02,2.58E-02,1.73E-02,2.44E+05,9.02E+05,8.10E+05,9.76E+05,1.14E+06,7.26E+05,2.11E+05,1.93E+05,2.22E+04,-4.30E+03,2.13E-04,2.31E-04,1.01E-04,1.20E-02,1.83E-02,2.35E-01,9.55E-01,1.00E+00
8.98E-01,1.76E-01,5.91E-01,6.30E-01,3.25E-01,1.76E-01,7.20E-02,2.66E-02,7.20E-02,2.66E-02,1.80E-02,2.44E+05,9.32E+05,8.35E+05,1.01E+06,1.17E+06,7.33E+05,2.25E+05,2.08E+05,2.24E+04,-5.44E+03,2.22E-04,2.38E-04,1.03E-04,1.16E-02,1.80E-02,2.32E-01,9.78E-01,1.00E+00
9.07E-01,1.45E-01,5.63E-01,6.05E-01,4.61E-01,1.45E-01,6.34E-02,2.50E-02,6.34E-02,2.50E-02,1.35E-02,2.44E+05,7.65E+05,6.87E+05,8.39E+05,1.02E+06,8.25E+05,1.64E+05,1.36E+05,2.14E+04,6.89E+03,1.76E-04,2.02E-04,1.39E-04,1.40E-02,1.89E-02,1.77E-01,8.53E-01,1.00E+00
9.07E-01,1.51E-01,5.71E-01,6.14E-01,4.37E-01,1.51E-01,6.48E-02,2.50E-02,6.48E-02,2.50E-02,1.41E-02,2.44E+05,8.00E+05,7.20E+05,8.74E+05,1.05E+06,8.12E+05,1.76E+05,1.49E+05,2.16E+04,4.61E+03,1.86E-04,2.09E-04,1.32E-04,1.34E-02,1.89E-02,1.90E-01,8.80E-01,1.00E+00
9.07E-01,1.57E-01,5.79E-01,6.23E-01,4.14E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.46E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,7.99E+05,1.88E+05,1.64E+05,2.18E+04,2.33E+03,1.96E-04,2.17E-04,1.25E-04,1.29E-02,1.88E-02,2.03E-01,9.07E-01,1.00E+00
9.07E-01,1.64E-01,5.86E-01,6.31E-01,3.91E-01,1.64E-01,6.78E-02,2.50E-02,6.78E-02,2.50E-02,1.52E-02,2.44E+05,8.72E+05,7.84E+05,9.45E+05,1.11E+06,7.85E+05,2.01E+05,1.79E+05,2.20E+04,4.49E+01,2.05E-04,2.25E-04,1.18E-04,1.24E-02,1.87E-02,2.17E-01,9.32E-01,1.00E+00
9.07E-01,1.70E-01,5.91E-01,6.36E-01,3.74E-01,1.70E-01,6.94E-02,2.52E-02,6.94E-02,2.52E-02,1.58E-02,2.44E+05,9.05E+05,8.14E+05,9.79E+05,1.14E+06,7.78E+05,2.14E+05,1.94E+05,2.21E+04,-1.82E+03,2.14E-04,2.32E-04,1.14E-04,1.20E-02,1.86E-02,2.27E-01,9.57E-01,1.00E+00
9.07E-01,1.76E-01,5.94E-01,6.36E-01,3.71E-01,1.76E-01,7.15E-02,2.60E-02,7.15E-02,2.60E-02,1.64E-02,2.44E+05,9.36E+05,8.40E+05,1.01E+06,1.17E+06,7.86E+05,2.29E+05,2.09E+05,2.24E+04,-2.81E+03,2.23E-04,2.39E-04,1.16E-04,1.16E-02,1.82E-02,2.24E-01,9.80E-01,1.00E+00
9.16E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.16E-01,1.51E-01,5.71E-01,6.14E-01,4.92E-01,1.51E-01,6.48E-02,2.50E-02,6.48E-02,2.50E-02,1.27E-02,2.44E+05,8.00E+05,7.20E+05,8.74E+05,1.05E+06,8.76E+05,1.79E+05,1.49E+05,2.16E+04,7.82E+03,1.86E-04,2.09E-04,1.51E-04,1.34E-02,1.89E-02,1.81E-01,8.80E-01,1.00E+00
9.16E-01,1.57E-01,5.79E-01,6.23E-01,4.71E-01,1.57E-01,6.63E-02,2.50E-02,6.63E-02,2.50E-02,1.32E-02,2.44E+05,8.36E+05,7.52E+05,9.10E+05,1.08E+06,8.65E+05,1.91E+05,1.64E+05,2.18E+04,5.65E+03,1.96E-04,2.17E-04,1.44E-04,1.29E-02,1.88E-02,1.91E-01,9.07E-01,1.00E+00
