Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-),Total Perm. Conc. (kg/m3)
9.04E-01,1.51E-01,5.62E-01,5.96E-01,4.58E-01,1.51E-01,6.63E-02,2.68E-02,6.63E-02,2.68E-02,1.45E-02,2.44E+05,7.89E+05,7.05E+05,8.63E+05,1.04E+06,8.41E+05,1.73E+05,1.46E+05,2.18E+04,5.18E+03,1.83E-04,2.06E-04,1.46E-04,1.35E-02,1.81E-02,1.62E-01,8.73E-01,1.00E+00,2.82E-02
9.04E-01,1.57E-01,5.65E-01,5.95E-01,4.54E-01,1.57E-01,6.84E-02,2.77E-02,6.84E-02,2.77E-02,1.51E-02,2.44E+05,8.19E+05,7.31E+05,8.93E+05,1.06E+06,8.51E+05,1.86E+05,1.59E+05,2.20E+04,4.78E+03,1.91E-04,2.13E-04,1.48E-04,1.30E-02,1.77E-02,1.59E-01,8.97E-01,1.00E+00,2.73E-02
9.04E-01,1.64E-01,5.69E-01,5.95E-01,4.50E-01,1.64E-01,7.06E-02,2.86E-02,7.06E-02,2.86E-02,1.57E-02,2.44E+05,8.49E+05,7.55E+05,9.23E+05,1.09E+06,8.61E+05,1.99E+05,1.73E+05,2.23E+04,4.32E+03,1.99E-04,2.19E-04,1.51E-04,1.25E-02,1.74E-02,1.57E-01,9.20E-01,1.00E+00,2.64E-02
9.04E-01,1.70E-01,5.72E-01,5.95E-01,4.46E-01,1.70E-01,7.27E-02,2.94E-02,7.27E-02,2.94E-02,1.63E-02,2.44E+05,8.80E+05,7.80E+05,9.53E+05,1.11E+06,8.71E+05,2.13E+05,1.87E+05,2.25E+04,3.82E+03,2.07E-04,2.25E-04,1.53E-04,1.21E-02,1.70E-02,1.55E-01,9.43E-01,1.00E+00,2.57E-02
9.04E-01,1.76E-01,5.75E-01,5.95E-01,4.42E-01,1.76E-01,7.48E-02,3.03E-02,7.48E-02,3.03E-02,1.69E-02,2.44E+05,9.10E+05,8.05E+05,9.84E+05,1.13E+06,8.80E+05,2.27E+05,2.02E+05,2.27E+04,3.28E+03,2.16E-04,2.31E-04,1.56E-04,1.16E-02,1.67E-02,1.52E-01,9.66E-01,1.00E+00,2.48E-02
9.11E-01,1.45E-01,5.60E-01,6.00E-01,4.94E-01,1.45E-01,6.37E-02,2.55E-02,6.37E-02,2.55E-02,1.29E-02,2.44E+05,7.62E+05,6.83E+05,8.36E+05,1.01E+06,8.65E+05,1.63E+05,1.35E+05,2.15E+04,6.62E+03,1.76E-04,2.01E-04,1.52E-04,1.40E-02,1.87E-02,1.66E-01,8.51E-01,1.00E+00,2.99E-02
9.11E-01,1.51E-01,5.64E-01,6.00E-01,4.90E-01,1.51E-01,6.59E-02,2.64E-02,6.59E-02,2.64E-02,1.35E-02,2.44E+05,7.92E+05,7.09E+05,8.66E+05,1.04E+06,8.77E+05,1.75E+05,1.47E+05,2.17E+04,6.34E+03,1.84E-04,2.07E-04,1.55E-04,1.35E-02,1.83E-02,1.63E-01,8.75E-01,1.00E+00,2.89E-02
9.11E-01,1.57E-01,5.68E-01,6.00E-01,4.86E-01,1.57E-01,6.81E-02,2.72E-02,6.81E-02,2.72E-02,1.40E-02,2.44E+05,8.22E+05,7.34E+05,8.96E+05,1.06E+06,8.88E+05,1.88E+05,1.60E+05,2.20E+04,6.01E+03,1.92E-04,2.13E-04,1.58E-04,1.30E-02,1.79E-02,1.60E-01,8.99E-01,1.00E+00,2.80E-02
9.11E-01,1.64E-01,5.71E-01,6.00E-01,4.82E-01,1.64E-01,7.02E-02,2.81E-02,7.02E-02,2.81E-02,1.46E-02,2.44E+05,8.52E+05,7.59E+05,9.26E+05,1.09E+06,8.99E+05,2.01E+05,1.73E+05,2.22E+04,5.63E+03,2.00E-04,2.20E-04,1.61E-04,1.25E-02,1.75E-02,1.58E-01,9.22E-01,1.00E+00,2.71E-02
9.11E-01,1.70E-01,5.74E-01,6.00E-01,4.78E-01,1.70E-01,7.24E-02,2.89E-02,7.24E-02,2.89E-02,1.51E-02,2.44E+05,8.83E+05,7.84E+05,9.56E+05,1.11E+06,9.10E+05,2.15E+05,1.88E+05,2.25E+04,5.21E+03,2.08E-04,2.26E-04,1.63E-04,1.20E-02,1.72E-02,1.55E-01,9.45E-01,1.00E+00,2.62E-02
