Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
1000.0,100.0,57.75193131698496,64.3322336396195,59.28215329890938,31.79642800800185
3000.0,254.0,99.02220228182534,82.88735076294246,76.38069372805147,188.05014699060072
3000.0,240.0,96.92258044172388,82.84812869291159,76.34455059051804,177.76929820958213
3330.0,230.0,98.4767744999658,80.99770964164476,74.63938943477565,193.4221898141539
2640.0,230.0,92.67792872629326,82.33393214353379,75.87071847026638,150.8550560709413
2640.0,250.0,95.90236300871017,81.68005947549278,75.2681748066666,165.2855377567038
1980.0,270.0,96.05973503147672,71.38018063309349,65.77683645339565,153.1998276283326
2280.0,270.0,97.24974005444759,76.58049126831548,70.56892270375272,164.43241224083377
