Flow (gpm),Head (ft),speed,pump_efficiency,total_efficiency,power
600.0,50.0,41.22787432261656,50.6682661315204,46.690807240196044,12.111339453810134
4690.0,145.0,96.6161166111722,72.62197964591083,66.92115424370682,191.5489282577086
4690.0,110.0,91.4254025639226,66.90255401706708,61.6507035267273,157.73562661502518
3585.0,215.0,96.96404814605091,82.53093687875862,76.05225833377607,191.03714083254576
3065.0,235.0,96.7846503379965,80.32264103968384,74.01731371806865,183.42871607439497
2000.0,200.0,85.2113051561152,69.92657478278798,64.43733866233913,117.01046372542265
2000.0,250.0,94.36210274876663,65.7206354477648,60.561565565115274,155.6235131918286
2000.0,100.0,63.13897802238202,80.32874612858446,74.02293955749057,50.92909659617421
2000.0,75.0,56.4148107895513,82.294740187294,75.83460308259143,37.284313022813414
2600.0,150.0,78.25269348900275,81.36724271932223,74.97991416585545,98.04421474661106
2600.0,75.0,61.3545875648283,80.59144280129227,74.26501454139084,49.49401041362749
2600.0,115.0,70.75132871533846,82.51690912533213,76.03933175899355,74.11996424761347
