,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.1016,0.0,1521.7076923573186,,,,0,0.0,1,2565.0493900453653,2565.0493900453653,0.0,410.40790240725846,85.15963974950613,0.0,,,402.1418626196272,2565.0493900453653,2462.4474144435503,102.60197560181469,2565.049390045365,0.0,1.0,0.0,0.0,0.16738632791983585,147.1380613870638,0.96,915.6590974279641,879.0327335308455,36.626363897118594,1.0,0.0,0.0,0.16472992816144555,140.57214864625644,0.96,888.9053928500922,853.3491771360884,35.55621571400372,1.0,0.0,0.0,0.15674162386026189,114.43165258630698,0.96,760.4848997673085,730.0655037766162,30.41939599069237,,,,889.8340158788928,2462.4474144435503,2274.57241444355,187.875,2462.44741444355,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.3616082536761931,185.30521463781247,0.9192748969067882,557.44741444355,512.44741444355,45.0,1.0,,,0.101,229.73181385879855,2274.57241444355,2274.57241444355,0.0,70.51174484775005,-0.0,,,290.4769756018151,0.0,124.90509950878051,4.0,1521.7076923573186,0.0,-0.0,0.0,154.60550154350355
1,1,2,0.1016,0.0,1521.7076923573186,,,,0,0.0,1,2565.0493900453653,2565.0493900453653,0.0,410.40790240725846,85.15963974950613,0.0,,,402.1418626196272,2565.0493900453653,2462.4474144435503,102.60197560181469,2565.049390045365,0.0,1.0,0.0,0.0,0.16738632791983585,147.1380613870638,0.96,915.6590974279641,879.0327335308455,36.626363897118594,1.0,0.0,0.0,0.16472992816144555,140.57214864625644,0.96,888.9053928500922,853.3491771360884,35.55621571400372,1.0,0.0,0.0,0.15674162386026189,114.43165258630698,0.96,760.4848997673085,730.0655037766162,30.41939599069237,,,,889.8340158788928,2462.4474144435503,2274.57241444355,187.875,2462.44741444355,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.3616082536761931,185.30521463781247,0.9192748969067882,557.44741444355,512.44741444355,45.0,1.0,,,0.101,229.73181385879855,2274.57241444355,2274.57241444355,0.0,70.51174484775005,-0.0,,,290.4769756018151,0.0,124.90509950878051,4.0,1521.7076923573186,0.0,-0.0,0.0,154.60550154350355
2,1,3,0.1016,0.0,1521.7076923573186,,,,0,0.0,1,2565.0493900453653,2565.0493900453653,0.0,410.40790240725846,85.15963974950613,0.0,,,402.1418626196272,2565.0493900453653,2462.4474144435503,102.60197560181469,2565.049390045365,0.0,1.0,0.0,0.0,0.16738632791983585,147.1380613870638,0.96,915.6590974279641,879.0327335308455,36.626363897118594,1.0,0.0,0.0,0.16472992816144555,140.57214864625644,0.96,888.9053928500922,853.3491771360884,35.55621571400372,1.0,0.0,0.0,0.15674162386026189,114.43165258630698,0.96,760.4848997673085,730.0655037766162,30.41939599069237,,,,889.8340158788928,2462.4474144435503,2274.57241444355,187.875,2462.44741444355,0.0,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.3616082536761931,185.30521463781247,0.9192748969067882,557.44741444355,512.44741444355,45.0,1.0,,,0.101,229.73181385879855,2274.57241444355,2274.57241444355,0.0,70.51174484775005,-0.0,,,290.4769756018151,0.0,124.90509950878051,4.0,1521.7076923573186,0.0,-0.0,0.0,154.60550154350355
3,1,4,0.1016,0.0,1594.284387596606,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.84166666665868,0.0,,,417.61315260849864,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.16738632791983585,147.13806138706377,0.96,915.659097427964,879.0327335308453,36.626363897118594,1.0,0.0,0.0,0.16472992816144566,140.5721486462562,0.96,888.9053928500895,853.3491771360858,35.55621571400361,1.0,0.0,0.0,0.16084699475028316,129.90294257517866,0.96,841.2688430552076,807.6180893329993,33.650753722208336,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,-0.0,,,296.3333333333333,0.0,127.42333333330221,4.0,1594.284387596606,0.0,-0.0,0.0,161.97929377981515
4,1,5,0.1016,0.0,1594.284387596607,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.84166666666445,0.0,,,417.61315260849983,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.1673863279198361,147.13806138706417,0.96,915.6590974279651,879.0327335308465,36.62636389711864,1.0,0.0,0.0,0.1647299281614458,140.5721486462566,0.96,888.9053928500914,853.3491771360877,35.556215714003685,1.0,0.0,0.0,0.16084699475028322,129.90294257517905,0.96,841.2688430552099,807.6180893330015,33.65075372220843,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330446,4.0,1594.284387596607,0.0,-0.0,0.0,161.97929377981526
5,1,6,0.1016,0.0,1594.2843875966082,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.8416666666646,0.0,,,417.61315260850085,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.1673863279198361,147.13806138706434,0.96,915.6590974279662,879.0327335308475,36.62636389711868,1.0,0.0,0.0,0.1647299281614459,140.57214864625686,0.96,888.9053928500923,853.3491771360885,35.55621571400373,1.0,0.0,0.0,0.1608469947502835,129.90294257517962,0.96,841.2688430552122,807.6180893330037,33.65075372220852,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330649,4.0,1594.2843875966082,0.0,-0.0,0.0,161.97929377981538
6,1,7,0.1016,0.0,1594.2843875966091,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.84166666666475,0.0,,,417.61315260850193,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.16738632791983632,147.13806138706485,0.96,915.6590974279682,879.0327335308494,36.62636389711876,1.0,0.0,0.0,0.16472992816144602,140.5721486462571,0.96,888.9053928500932,853.3491771360895,35.55621571400376,1.0,0.0,-0.0,0.16084699475028355,129.90294257518002,0.96,841.2688430552145,807.6180893330059,33.650753722208606,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330852,4.0,1594.2843875966091,0.0,-0.0,0.0,161.9792937798155
7,1,8,0.1016,0.0,1594.2843875966096,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.84166666666482,0.0,,,417.61315260850233,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.16738632791983632,147.1380613870647,0.96,915.6590974279673,879.0327335308485,36.62636389711872,1.0,0.0,0.0,0.16472992816144605,140.57214864625726,0.96,888.9053928500941,853.3491771360904,35.5562157140038,1.0,0.0,-0.0,0.16084699475028372,129.9029425751804,0.96,841.268843055216,807.6180893330073,33.65075372220867,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330934,4.0,1594.2843875966096,0.0,-0.0,0.0,161.97929377981552
8,1,9,0.1016,0.0,1594.2843875966096,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.8416666666648,0.0,,,417.6131526085023,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.16738632791983618,147.13806138706443,0.96,915.6590974279662,879.0327335308475,36.62636389711868,1.0,0.0,0.0,0.16472992816144602,140.57214864625712,0.96,888.9053928500934,853.3491771360897,35.55621571400377,1.0,0.0,-0.0,0.16084699475028377,129.9029425751807,0.96,841.2688430552176,807.6180893330089,33.650753722208734,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330915,4.0,1594.2843875966096,0.0,-0.0,0.0,161.97929377981552
9,1,10,0.1016,0.0,1594.2843875966091,,,,0,0.0,1,2645.8333333333335,2645.8333333333335,0.0,423.3333333333333,87.8416666666648,0.0,,,417.613152608502,2645.8333333333335,2540.0,105.83333333333333,2645.8333333333335,0.0,1.0,0.0,0.0,0.167386327919836,147.13806138706408,0.96,915.6590974279652,879.0327335308466,36.626363897118644,1.0,0.0,0.0,0.1647299281614459,140.57214864625692,0.96,888.9053928500928,853.349177136089,35.55621571400374,1.0,0.0,-0.0,0.16084699475028388,129.90294257518102,0.96,841.2688430552192,807.6180893330104,33.6507537222088,,,,939.3717349881072,2540.0,2349.5,190.5,2540.0,0.0,1.0,-0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659594,234.8429337470268,0.925,635.0,587.375,47.625,1.0,0.0,-0.0,0.39981772078659583,234.84293374702673,0.925,635.0,587.375,47.625,1.0,,,0.101,237.29950000000002,2349.5,2349.5,0.0,72.8345,0.0,,,296.3333333333333,0.0,127.42333333330915,4.0,1594.2843875966091,0.0,-0.0,0.0,161.9792937798155
